BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID,,BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID
2CR,1SQN2CR,WASFAA,B,2,A,2,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Signal Support Systems Specialist,107,,
2CR,1SQN2CR,WASFAA,B,2,A,2,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Section Chief,107,,
2CR,1SQN2CR,WASFAA,B,2,A,2,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Information Technician Specialist,107,,
2CR,1SQN2CR,WASFAA,B,2,A,2,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Signal Information Services (IS) Non-commissioned Officer (NCO),107,,
2CR,1SQN2CR,WASFAA,B,2,B,3,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Forward Signal Support Non-commissioned Officer (NCO),107,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Information Technician Specialist,107,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Signal Support Systems Specialist,107,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Physician Assistant (PA),108,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Health Care Sergeant,108,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Health Care Specialist,108,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Health Care (HC) Non-commissioned Officer (NCO),108,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Combat Medic,108,,
2CR,1SQN2CR,WASFAA,B,2,B,3,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,T,,,,Health Care Sergeant,108,,
2CR,1SQN2CR,WASFAA,B,2,B,4,Squad Leader,206,,,,2CR,ENG2CR,WBA4AA,T,,,,#1 Combat Medic,108,,
2CR,1SQN2CR,WASFAA,B,2,B,4,#1 Machine-Gunner,206,,,,2CR,ENG2CR,WBA4AA,T,,,,#2 Combat Medic,108,,
2CR,1SQN2CR,WASFAA,B,2,B,4,#2 Machine-Gunner,206,,,,2CR,ENG2CR,WBA4AA,T,,,,Emergency Care Sergeant,108,,
2CR,1SQN2CR,WASFAA,B,2,B,4,#1 Assistant Machine/Gunner (M/G),206,,,,2CR,ENG2CR,WBA4AA,T,,,,#1 Ambulance Aide/Driver,108,,
2CR,1SQN2CR,WASFAA,B,2,B,4,#2 Assistant Machine/Gunner (M/G),206,,,,2CR,ENG2CR,WBA4AA,T,,,,#2 Ambulance Aide/Driver,108,,
2CR,1SQN2CR,WASFAA,B,3,H,H,Platoon Leader,207,,,,2CR,ENG2CR,WBA4AA,T,,,,Emergency Care Sergeant,108,,
2CR,1SQN2CR,WASFAA,B,3,H,H,Platoon Sergeant,207,,,,2CR,ENG2CR,WBA4AA,T,,,,#1 Ambulance Aide/Driver,108,,
2CR,1SQN2CR,WASFAA,B,3,H,H,Radiotelephone Operator (RATELO),207,,,,2CR,ENG2CR,WBA4AA,T,,,,#2 Ambulance Aide/Driver,108,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#1 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,ENG2CR,WBA4AA,T,,,,Chaplain,109,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#2 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,ENG2CR,WBA4AA,T,,,,Religious Affairs Non-commissioned Officer (NCO),109,,
2CR,1SQN2CR,WASFAA,B,3,A,2,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,ENG2CR,WBA4AA,T,,,,Platoon Leader,110,,
2CR,1SQN2CR,WASFAA,B,3,A,2,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,ENG2CR,WBA4AA,T,,,,Assistant Team Leader,110,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#3 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,ENG2CR,WBA4AA,T,,,,#1 Chemical Biological Radiological Nuclear (CBRN) Specialist,110,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#4 Interim Armored Vehicle (IAV) Commander,208,,,,2CR,ENG2CR,WBA4AA,T,,,,#2 Chemical Biological Radiological Nuclear (CBRN) Specialist,110,,
2CR,1SQN2CR,WASFAA,B,3,B,4,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,ENG2CR,WBA4AA,T,,,,Platoon Sergeant,110,,
2CR,1SQN2CR,WASFAA,B,3,B,4,Interim Armored Vehicle (IAV) Driver,208,,,,2CR,ENG2CR,WBA4AA,T,,,,Assistant Team Leader,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,Squad Leader,209,,,,2CR,ENG2CR,WBA4AA,T,,,,#1 Chemical Biological Radiological Nuclear (CBRN) Specialist,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#1 Fire Team Leader,209,,,,2CR,ENG2CR,WBA4AA,T,,,,#2 Chemical Biological Radiological Nuclear (CBRN) Specialist,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#2 Fire Team Leader,209,,,,2CR,ENG2CR,WBA4AA,T,,,,Team Leader,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#1 Automatic Rifleman,209,,,,2CR,ENG2CR,WBA4AA,T,,,,Assistant Team Leader,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#2 Automatic Rifleman,209,,,,2CR,ENG2CR,WBA4AA,T,,,,#1 Chemical Biological Radiological Nuclear (CBRN) Specialist,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#1 Rifleman,209,,,,2CR,ENG2CR,WBA4AA,T,,,,#2 Chemical Biological Radiological Nuclear (CBRN) Specialist,110,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#2 Rifleman,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,Commander,201,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#1 Grenadier,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,Vehicle Commander,201,,
2CR,1SQN2CR,WASFAA,B,3,A,1,#2 Grenadier,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,Vehicle Driver,201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,Squad Leader,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,Operations Officer,201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#1 Fire Team Leader,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,G,Forward Signal Support Non-commissioned Officer (NCO),201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#2 Fire Team Leader,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,First Sergeant (1SG),201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#1 Automatic Rifleman,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,Operations Sergeant,201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#2 Automatic Rifleman,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,S,Supply Sergeant,201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#1 Rifleman,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,S,Supply Specialist,201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#2 Rifleman,209,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,H,Operations Readiness Specialist,201,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#1 Grenadier,209,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Platoon Leader,202,,
2CR,1SQN2CR,WASFAA,B,3,A,2,#2 Grenadier,209,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Vehicle Commander,202,,
2CR,1SQN2CR,WASFAA,B,3,B,3,Squad Leader,210,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Vehicle Driver,202,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#1 Fire Team Leader,210,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Platoon Sergeant,202,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#2 Fire Team Leader,210,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Combat Engineer,202,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#1 Automatic Rifleman,210,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Heavy Vehicle Driver,202,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#2 Automatic Rifleman,210,,,,2CR,ENG2CR,WBA4AA,A,1,N/A,H,Heavy Vehicle Driver,202,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#1 Rifleman,210,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,Squad Leader,203,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#2 Rifleman,210,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,Vehicle Commander,203,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#1 Grenadier,210,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,Vehicle Driver,203,,
2CR,1SQN2CR,WASFAA,B,3,B,3,#2 Grenadier,210,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,#1 Team Leader,203,,
2CR,1SQN2CR,WASFAA,B,3,B,4,Squad Leader,211,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,#2 Team Leader,203,,
2CR,1SQN2CR,WASFAA,B,3,B,4,#1 Machine-Gunner,211,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,#1 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,B,3,B,4,#2 Machine-Gunner,211,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,#2 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,B,3,B,4,#1 Assistant Machine/Gunner (M/G),211,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,#3 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,B,3,B,4,#2 Assistant Machine/Gunner (M/G),211,,,,2CR,ENG2CR,WBA4AA,A,1,A,1,#4 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Commander,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,Squad Leader,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Interim Armored Vehicle (IAV) Commander,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,Vehicle Commander,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Interim Armored Vehicle (IAV) Driver,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,Vehicle Driver,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Radiotelephone Operator (RATELO),201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,#1 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Executive Officer (XO),201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,#2 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Interim Armored Vehicle (IAV) Commander,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,#1 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Interim Armored Vehicle (IAV) Driver,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,#2 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Radiotelephone Operator (RATELO),201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,#3 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,First Sergeant (1SG),201,,,,2CR,ENG2CR,WBA4AA,A,1,A,2,#4 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Forward Signal Support Non-commissioned Officer (NCO),201,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,Squad Leader,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,H,Operations Readiness Non-commissioned Officer (NCO),201,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,Vehicle Commander,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,S,Supply Sergeant,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,Vehicle Driver,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,S,Supply Specialist,201,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,#1 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Section Leader,202,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,#2 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Gunner,202,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,#1 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Mortar Carrier Driver,202,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,#2 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Assistant Gunner,202,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,#3 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Ammunition Bearer,202,,,,2CR,ENG2CR,WBA4AA,A,1,A,3,#4 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Squad Leader,202,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Platoon Leader,202,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Gunner,202,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Vehicle Commander,202,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Mortar Carrier Driver,202,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Vehicle Driver,202,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Assistant Gunner,202,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Platoon Sergeant,202,,
2CR,1SQN2CR,WASFAA,C,H,N/A,M,Ammunition Bearer,202,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Combat Engineer,202,,
2CR,1SQN2CR,WASFAA,C,1,H,H,Platoon Leader,203,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Heavy Vehicle Driver,202,,
2CR,1SQN2CR,WASFAA,C,1,H,H,Platoon Sergeant,203,,,,2CR,ENG2CR,WBA4AA,A,2,N/A,H,Heavy Vehicle Driver,202,,
2CR,1SQN2CR,WASFAA,C,1,H,H,Radiotelephone Operator (RATELO),203,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,Squad Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#1 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,Vehicle Commander,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#2 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,Vehicle Driver,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,#1 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,#2 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#3 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,#1 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#4 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,#2 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,#3 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,A,2,A,1,#4 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,Squad Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,Vehicle Commander,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,Vehicle Driver,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,#1 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,#2 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,#1 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,#2 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,#3 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,1,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,2,#4 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,Squad Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,Vehicle Commander,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,Vehicle Driver,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,#1 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,#2 Team Leader,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,#1 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,#2 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,#3 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,A,2,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,A,2,A,3,#4 Combat Engineer,203,,
2CR,1SQN2CR,WASFAA,C,1,B,3,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,1,Section Leader,204,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,1,Bridge Crewmember,204,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,1,Bridge Crew Chief,204,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,1,Bridge Crewmember,204,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Squad Leader,205,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Heavy Vehicle Driver,205,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Heavy Vehicle Driver,205,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Heavy Vehicle Driver,205,,
2CR,1SQN2CR,WASFAA,C,1,B,3,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Heavy Vehicle Driver,205,,
2CR,1SQN2CR,WASFAA,C,1,B,4,Squad Leader,206,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Heavy Vehicle Driver,205,,
2CR,1SQN2CR,WASFAA,C,1,B,4,#1 Machine-Gunner,206,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Horizontal Construction Engineer,205,,
2CR,1SQN2CR,WASFAA,C,1,B,4,#2 Machine-Gunner,206,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Horizontal Construction Engineer,205,,
2CR,1SQN2CR,WASFAA,C,1,B,4,#1 Assistant Machine/Gunner (M/G),206,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,Horizontal Construction Engineer,205,,
2CR,1SQN2CR,WASFAA,C,1,B,4,#2 Assistant Machine/Gunner (M/G),206,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,#1 Horizontal Construction Sergeant,205,,
2CR,1SQN2CR,WASFAA,C,2,H,H,Platoon Leader,203,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,#2 Horizontal Construction Sergeant,205,,
2CR,1SQN2CR,WASFAA,C,2,H,H,Platoon Sergeant,203,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,#1 Horizontal Construction Engineer,205,,
2CR,1SQN2CR,WASFAA,C,2,H,H,Radiotelephone Operator (RATELO),203,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,#2 Horizontal Construction Engineer,205,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#1 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,A,H,N/A,2,#3 Horizontal Construction Engineer,205,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#2 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,Commander,301,,
2CR,1SQN2CR,WASFAA,C,2,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,Vehicle Commander,301,,
2CR,1SQN2CR,WASFAA,C,2,A,2,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,Vehicle Driver,301,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#3 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,Company Construction Officer,301,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#4 Interim Armored Vehicle (IAV) Commander,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,Operations Sergeant,301,,
2CR,1SQN2CR,WASFAA,C,2,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,First Sergeant (1SG),301,,
2CR,1SQN2CR,WASFAA,C,2,B,4,Interim Armored Vehicle (IAV) Driver,204,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,G,Forward Signal Support Non-commissioned Officer (NCO),301,,
2CR,1SQN2CR,WASFAA,C,2,A,1,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,S,Supply Sergeant,301,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,S,Supply Specialist,301,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,B,H,N/A,H,Operations Readiness Specialist,301,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Platoon Leader,302,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Vehicle Commander,302,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Vehicle Driver,302,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Platoon Sergeant,302,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Combat Engineer,302,,
2CR,1SQN2CR,WASFAA,C,2,A,1,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Heavy Vehicle Driver,302,,
2CR,1SQN2CR,WASFAA,C,2,A,2,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,B,1,N/A,H,Heavy Vehicle Driver,302,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,Squad Leader,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,Vehicle Commander,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,Vehicle Driver,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,#1 Team Leader,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,#2 Team Leader,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,#1 Combat Engineer,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#1 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,#2 Combat Engineer,303,,
2CR,1SQN2CR,WASFAA,C,2,A,2,#2 Grenadier,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,#3 Combat Engineer,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,Squad Leader,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,1,#4 Combat Engineer,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#1 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,2,Squad Leader,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#2 Fire Team Leader,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,2,Vehicle Commander,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#1 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,2,Vehicle Driver,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#2 Automatic Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,2,#1 Team Leader,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#1 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,2,#2 Team Leader,303,,
2CR,1SQN2CR,WASFAA,C,2,B,3,#2 Rifleman,205,,,,2CR,ENG2CR,WBA4AA,B,1,A,2,#1 Combat Engineer,303,,
